,RegionName,MsaName,year,rent_price,median_income,income_per_capita,income_200000_or_more,owner_occupied_housing_units_median_value,median_rent,million_dollar_housing_units
110,32210,"Jacksonville, FL",2014,900.0,41942.0,22481.0,507.0,106900.0,698.0,229
111,90026,"Los Angeles-Long Beach-Anaheim, CA",2014,1756.1818181818182,46435.0,26134.0,1212.0,590600.0,983.0,368
112,76063,"Dallas-Fort Worth, TX",2014,1323.9166666666667,86907.0,35431.0,1775.0,182600.0,925.0,197
113,77459,"Houston, TX",2014,1339.8181818181818,107214.0,42621.0,2928.0,206400.0,1346.0,175
114,91910,"San Diego, CA",2014,1517.3333333333333,54640.0,24520.0,626.0,348300.0,1118.0,118
115,27587,"Raleigh, NC",2014,1293.1666666666667,83416.0,34731.0,1507.0,259500.0,817.0,217
116,30040,"Atlanta, GA",2014,1408.5,82234.0,31284.0,1410.0,240200.0,953.0,33
117,93722,"Fresno, CA",2014,1172.0,54381.0,19990.0,425.0,175700.0,904.0,77
118,97229,"Portland, OR",2014,1573.0,98303.0,46029.0,3095.0,404100.0,893.0,242
119,06010,"Hartford, CT",2014,989.0833333333334,60222.0,31367.0,799.0,198900.0,772.0,40
120,76028,"Dallas-Fort Worth, TX",2014,1168.9166666666667,71394.0,30182.0,1011.0,137000.0,865.0,31
121,33908,"Fort Myers, FL",2014,1587.4166666666667,54497.0,41408.0,1256.0,194200.0,1062.0,368
122,75056,"Dallas-Fort Worth, TX",2014,1198.75,79076.0,38146.0,1948.0,174900.0,936.0,105
123,89108,"Las Vegas, NV",2014,813.8181818181819,41672.0,19310.0,373.0,107500.0,809.0,23
124,85308,"Phoenix, AZ",2014,1082.3333333333333,68166.0,31913.0,1095.0,196800.0,907.0,62
125,33024,"Miami-Fort Lauderdale, FL",2014,1487.0833333333333,50800.0,22021.0,500.0,156600.0,1064.0,110
126,98012,"Seattle, WA",2014,1575.1666666666667,86886.0,38734.0,1459.0,346400.0,1248.0,140
127,30318,"Atlanta, GA",2014,980.3333333333334,40236.0,27027.0,950.0,169500.0,791.0,98
128,44060,"Cleveland, OH",2014,917.75,65811.0,33309.0,976.0,164600.0,747.0,61
129,95608,"Sacramento, CA",2014,989.8333333333334,55256.0,34606.0,1555.0,304200.0,819.0,307
130,33647,"Tampa, FL",2014,1349.8333333333333,73373.0,37049.0,2337.0,246100.0,998.0,93
131,92677,"Los Angeles-Long Beach-Anaheim, CA",2014,2131.6666666666665,98264.0,51536.0,4664.0,668900.0,1742.0,2831
132,44256,"Cleveland, OH",2014,1022.4285714285714,70977.0,33337.0,1389.0,196500.0,726.0,46
133,02148,"Boston, MA",2014,1810.25,55407.0,26721.0,747.0,328700.0,1155.0,63
134,80013,"Denver, CO",2014,1314.8333333333333,69310.0,28494.0,588.0,193900.0,1041.0,36
135,90066,"Los Angeles-Long Beach-Anaheim, CA",2014,1747.5,68346.0,40815.0,2566.0,741500.0,1358.0,1851
136,20906,"Washington, DC",2014,1491.4545454545455,73282.0,33814.0,1621.0,304200.0,1387.0,49
137,06902,"Stamford, CT",2014,2157.1666666666665,64696.0,36500.0,2536.0,413600.0,1443.0,910
138,45011,"Cincinnati, OH",2014,1032.0,61300.0,26923.0,957.0,174300.0,572.0,45
139,30188,"Atlanta, GA",2014,1160.25,68727.0,30668.0,907.0,168300.0,906.0,12
140,92336,"Riverside, CA",2014,1846.9166666666667,87425.0,24442.0,1188.0,292800.0,1550.0,83
141,11373,"New York, NY",2014,1495.4166666666667,49042.0,21905.0,1193.0,487600.0,1237.0,213
142,28078,"Charlotte, NC",2014,1332.4166666666667,82734.0,38712.0,1979.0,246000.0,921.0,150
143,60620,"Chicago, IL",2014,984.7272727272727,32557.0,16988.0,178.0,128900.0,731.0,0
144,92345,"Riverside, CA",2014,1009.9166666666666,42323.0,16346.0,337.0,145600.0,845.0,77
145,27610,"Raleigh, NC",2014,1083.9166666666667,45209.0,19207.0,258.0,146200.0,678.0,67
146,87120,"Albuquerque, NM",2014,880.3333333333334,64106.0,30083.0,813.0,189600.0,841.0,47
147,27410,"Greensboro, NC",2014,1207.9166666666667,59954.0,35943.0,1197.0,202200.0,736.0,62
148,75035,"Dallas-Fort Worth, TX",2014,1441.3333333333333,108694.0,38979.0,1887.0,220700.0,1221.0,77
149,98103,"Seattle, WA",2014,1438.75,76925.0,48860.0,2203.0,480800.0,1118.0,256
150,77450,"Houston, TX",2014,1405.0833333333333,99732.0,40962.0,4047.0,203300.0,1025.0,115
151,95747,"Sacramento, CA",2014,1648.6666666666667,92678.0,36698.0,1612.0,343500.0,1246.0,175
152,89121,"Las Vegas, NV",2014,761.25,37427.0,20468.0,254.0,109600.0,738.0,72
153,27406,"Greensboro, NC",2014,865.8,37879.0,19821.0,197.0,123600.0,577.0,32
154,92804,"Los Angeles-Long Beach-Anaheim, CA",2014,1416.3333333333333,52408.0,19890.0,628.0,367000.0,1197.0,6
155,08753,"New York, NY",2014,1465.0,75480.0,34810.0,1357.0,287500.0,1164.0,179
156,75228,"Dallas-Fort Worth, TX",2014,931.3333333333334,36773.0,17438.0,198.0,107300.0,603.0,0
157,92126,"San Diego, CA",2014,1669.1666666666667,85707.0,31179.0,1305.0,398600.0,1541.0,100
158,10028,"New York, NY",2014,2257.9166666666665,115485.0,111660.0,7247.0,1000001.0,1965.0,4485
159,60634,"Chicago, IL",2014,1216.3636363636363,55324.0,24392.0,532.0,232700.0,848.0,97
160,20011,"Washington, DC",2014,1556.5833333333333,59840.0,33139.0,1866.0,388500.0,982.0,509
161,76244,"Dallas-Fort Worth, TX",2014,1417.1666666666667,94599.0,32100.0,1195.0,174400.0,1268.0,15
162,92503,"Riverside, CA",2014,1639.9166666666667,55051.0,19715.0,713.0,231000.0,997.0,76
163,91911,"San Diego, CA",2014,1434.0833333333333,48891.0,19460.0,401.0,300100.0,1148.0,72
164,29732,"Charlotte, NC",2014,826.8,54845.0,28615.0,645.0,158400.0,627.0,70
165,32218,"Jacksonville, FL",2014,993.3333333333334,47401.0,22148.0,334.0,136000.0,726.0,31
166,22191,"Washington, DC",2014,1740.090909090909,81975.0,32382.0,1864.0,252600.0,1274.0,78
167,32256,"Jacksonville, FL",2014,1106.8333333333333,54666.0,35973.0,1195.0,251900.0,870.0,77
168,23320,"Virginia Beach, VA",2014,1266.5,69128.0,32438.0,792.0,244500.0,1111.0,51
169,92101,"San Diego, CA",2014,1949.5833333333333,52314.0,49269.0,1794.0,435900.0,1240.0,337
170,90019,"Los Angeles-Long Beach-Anaheim, CA",2014,1789.8,43244.0,26072.0,1378.0,639400.0,1037.0,920
