,RegionName,SizeRank,MsaName,year,rent_price,asian_pop,median_income,income_per_capita,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,median_rent,million_dollar_housing_units,masters_degree,bachelors_degree_or_higher_25_64,graduate_professional_degree,male_45_64_graduate_degree,employed_information,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,one_parent_families_with_young_children
82,10458,98,"New York, NY",2014,1323.5833333333333,2460,24829.0,14046.0,221.0,137.0,1101.0,174800.0,341900.0,448300.0,967.0,28,1260,4918.0,1668.0,248,761.0,1313.0,1507.0,1237.0,1193.0,4242.0
83,75067,99,"Dallas-Fort Worth, TX",2014,1029.0,5359,56514.0,28246.0,1228.0,480.0,957.0,114900.0,154500.0,190700.0,810.0,11,2918,12063.0,3528.0,551,853.0,1437.0,1759.0,1084.0,1273.0,2202.0
84,90034,100,"Los Angeles-Long Beach-Anaheim, CA",2014,1718.4166666666667,10966,56743.0,34903.0,1403.0,1399.0,1402.0,484200.0,654500.0,872700.0,1331.0,672,5364,20540.0,8584.0,1208,3239.0,1125.0,1161.0,1081.0,1070.0,726.0
85,80134,101,"Denver, CO",2014,1764.3636363636363,2259,101415.0,42056.0,2672.0,2128.0,1368.0,235900.0,313000.0,395300.0,1225.0,246,4546,18329.0,5953.0,1437,1907.0,326.0,660.0,537.0,534.0,474.0
86,33139,102,"Miami-Fort Lauderdale, FL",2014,1820.6666666666667,791,43972.0,49729.0,998.0,1690.0,1161.0,192100.0,327700.0,606100.0,1074.0,889,3785,12773.0,6589.0,1256,809.0,1220.0,1108.0,799.0,875.0,615.0
87,60611,103,"Chicago, IL",2014,2137.75,4775,85074.0,102675.0,1999.0,4150.0,1689.0,277900.0,466000.0,884100.0,1630.0,1869,4757,17620.0,10140.0,1494,738.0,584.0,706.0,479.0,570.0,122.0
88,95630,104,"Sacramento, CA",2014,1595.0,10102,100308.0,38465.0,3606.0,2598.0,1416.0,300900.0,394200.0,488700.0,1288.0,67,6184,20376.0,8663.0,1634,545.0,752.0,661.0,612.0,659.0,731.0
89,44107,106,"Cleveland, OH",2014,898.9090909090909,699,45064.0,28759.0,892.0,564.0,702.0,99700.0,128600.0,162900.0,601.0,51,3894,13468.0,5632.0,1106,729.0,1339.0,1499.0,1482.0,1311.0,966.0
90,66062,107,"Kansas City, MO",2014,1246.5454545454545,4149,82669.0,34115.0,2516.0,1723.0,945.0,169100.0,202500.0,251700.0,778.0,120,6160,21737.0,7579.0,1767,1899.0,712.0,754.0,986.0,988.0,968.0
91,11211,108,"New York, NY",2014,2757.4166666666665,4060,50943.0,30557.0,2248.0,2652.0,1337.0,477300.0,674900.0,937200.0,1231.0,1146,6567,25978.0,9099.0,744,4196.0,1709.0,1677.0,1148.0,1215.0,1691.0
92,44035,109,"Cleveland, OH",2014,613.9,353,44562.0,22383.0,602.0,167.0,722.0,71000.0,101800.0,142900.0,577.0,7,1933,5426.0,2323.0,349,704.0,1753.0,1489.0,1426.0,1570.0,2530.0
93,85281,110,"Phoenix, AZ",2014,1107.1666666666667,5332,31600.0,17556.0,297.0,200.0,874.0,98700.0,157000.0,215300.0,765.0,2,2381,9051.0,3280.0,277,681.0,1491.0,1175.0,747.0,1183.0,1517.0
94,11377,111,"New York, NY",2014,1624.0,32319,49641.0,23505.0,1068.0,838.0,1363.0,219100.0,406600.0,632200.0,1250.0,108,4417,16444.0,5630.0,817,1216.0,1792.0,1938.0,1908.0,1656.0,1548.0
95,90805,113,"Los Angeles-Long Beach-Anaheim, CA",2014,1109.1818181818182,10978,45197.0,17325.0,716.0,352.0,1059.0,219100.0,287900.0,362300.0,966.0,45,1032,6027.0,1341.0,161,770.0,1206.0,1435.0,1403.0,1469.0,5292.0
96,7302,114,"New York, NY",2014,2379.5833333333335,11384,100336.0,60798.0,2030.0,3588.0,1749.0,347800.0,477100.0,686700.0,1653.0,333,7709,21530.0,10716.0,1008,1778.0,405.0,581.0,298.0,338.0,539.0
97,85710,117,"Tucson, AZ",2014,804.75,1583,42049.0,24096.0,560.0,196.0,776.0,103500.0,145700.0,179700.0,677.0,0,2527,6932.0,3686.0,612,548.0,1727.0,1550.0,1440.0,1598.0,1367.0
98,92683,118,"Los Angeles-Long Beach-Anaheim, CA",2014,1684.8333333333333,43442,53559.0,22833.0,1813.0,1111.0,1355.0,338900.0,455200.0,593700.0,1285.0,70,2225,10770.0,3415.0,672,852.0,1470.0,1286.0,1167.0,1313.0,1851.0
99,85225,119,"Phoenix, AZ",2014,966.5833333333334,3542,55753.0,24515.0,835.0,602.0,976.0,110800.0,158300.0,220000.0,819.0,11,3076,10290.0,4056.0,670,747.0,981.0,1385.0,1245.0,1366.0,3067.0
100,11234,120,"New York, NY",2014,1663.5714285714287,4639,67713.0,29736.0,2763.0,1795.0,1277.0,401300.0,488400.0,640500.0,1149.0,595,6239,17997.0,7809.0,1078,1115.0,1214.0,1638.0,1299.0,1474.0,2334.0
101,30281,121,"Atlanta, GA",2014,970.6666666666666,1959,52666.0,23524.0,931.0,421.0,1008.0,86700.0,123900.0,178900.0,813.0,37,2449,9427.0,3279.0,452,725.0,1277.0,1402.0,1437.0,1322.0,2869.0
102,37075,122,"Nashville, TN",2014,1045.5,1328,62682.0,33332.0,1287.0,1427.0,937.0,148300.0,207800.0,289400.0,798.0,157,3303,11845.0,4512.0,880,595.0,865.0,1162.0,1237.0,927.0,886.0
103,11238,124,"New York, NY",2014,2450.5,3441,69491.0,40557.0,1833.0,1633.0,1446.0,424400.0,676800.0,1000001.0,1352.0,1709,7414,20838.0,10072.0,1071,3015.0,515.0,815.0,967.0,777.0,1545.0
104,78641,125,"Austin, TX",2014,1305.1666666666667,910,73535.0,29910.0,1186.0,979.0,1298.0,127000.0,160200.0,240400.0,1017.0,127,2109,9071.0,2673.0,498,531.0,538.0,543.0,619.0,797.0,897.0
105,10314,126,"New York, NY",2014,1699.8333333333333,12263,78962.0,33822.0,3432.0,2082.0,1195.0,340700.0,435000.0,559700.0,1040.0,277,6100,16525.0,7845.0,1604,1031.0,1141.0,935.0,1061.0,1194.0,1264.0
106,19143,127,"Philadelphia, PA",2014,988.9090909090909,951,30391.0,19359.0,517.0,273.0,826.0,56800.0,83500.0,123800.0,686.0,80,2535,7948.0,3479.0,422,436.0,1778.0,1581.0,1511.0,1276.0,3469.0
107,91709,129,"Riverside, CA",2014,1976.5833333333333,24046,97609.0,35529.0,2779.0,2655.0,1825.0,365600.0,489700.0,646300.0,1690.0,563,5152,19698.0,7059.0,1931,661.0,485.0,549.0,592.0,782.0,789.0
