,state,county,candidate,party,total_votes,won,county_st,just_co
181,Florida,Duval County,Jo Jorgensen,LIB,4788,False,"Duval County, Florida",Duval 
182,Florida,Duval County,Howie Hawkins,GRN,772,False,"Duval County, Florida",Duval 
183,Florida,Duval County,Gloria La Riva,PSL,328,False,"Duval County, Florida",Duval 
184,Florida,Duval County,Rocky De La Fuente,ALI,319,False,"Duval County, Florida",Duval 
185,Florida,Duval County,Don Blankenship,CST,218,False,"Duval County, Florida",Duval 
186,Florida,Duval County, Write-ins,WRI,77,False,"Duval County, Florida",Duval 
187,Florida,Escambia County,Donald Trump,REP,96674,True,"Escambia County, Florida",Escambia 
188,Florida,Escambia County,Joe Biden,DEM,70929,False,"Escambia County, Florida",Escambia 
189,Florida,Escambia County,Jo Jorgensen,LIB,2146,False,"Escambia County, Florida",Escambia 
190,Florida,Escambia County,Howie Hawkins,GRN,256,False,"Escambia County, Florida",Escambia 
191,Florida,Escambia County,Gloria La Riva,PSL,137,False,"Escambia County, Florida",Escambia 
192,Florida,Escambia County,Rocky De La Fuente,ALI,105,False,"Escambia County, Florida",Escambia 
193,Florida,Escambia County,Don Blankenship,CST,92,False,"Escambia County, Florida",Escambia 
194,Florida,Escambia County, Write-ins,WRI,33,False,"Escambia County, Florida",Escambia 
195,Florida,Flagler County,Donald Trump,REP,43043,True,"Flagler County, Florida",Flagler 
196,Florida,Flagler County,Joe Biden,DEM,28161,False,"Flagler County, Florida",Flagler 
197,Florida,Flagler County,Jo Jorgensen,LIB,359,False,"Flagler County, Florida",Flagler 
198,Florida,Flagler County,Howie Hawkins,GRN,69,False,"Flagler County, Florida",Flagler 
199,Florida,Flagler County,Rocky De La Fuente,ALI,30,False,"Flagler County, Florida",Flagler 
200,Florida,Flagler County,Gloria La Riva,PSL,29,False,"Flagler County, Florida",Flagler 
201,Florida,Flagler County,Don Blankenship,CST,20,False,"Flagler County, Florida",Flagler 
202,Florida,Flagler County, Write-ins,WRI,5,False,"Flagler County, Florida",Flagler 
203,Florida,Franklin County,Donald Trump,REP,4675,True,"Franklin County, Florida",Franklin 
204,Florida,Franklin County,Joe Biden,DEM,2120,False,"Franklin County, Florida",Franklin 
205,Florida,Franklin County,Jo Jorgensen,LIB,27,False,"Franklin County, Florida",Franklin 
206,Florida,Franklin County,Howie Hawkins,GRN,12,False,"Franklin County, Florida",Franklin 
207,Florida,Franklin County,Gloria La Riva,PSL,8,False,"Franklin County, Florida",Franklin 
208,Florida,Franklin County,Rocky De La Fuente,ALI,4,False,"Franklin County, Florida",Franklin 
209,Florida,Franklin County,Don Blankenship,CST,3,False,"Franklin County, Florida",Franklin 
210,Florida,Gadsden County,Joe Biden,DEM,16153,True,"Gadsden County, Florida",Gadsden 
211,Florida,Gadsden County,Donald Trump,REP,7465,False,"Gadsden County, Florida",Gadsden 
212,Florida,Gadsden County,Jo Jorgensen,LIB,96,False,"Gadsden County, Florida",Gadsden 
213,Florida,Gadsden County,Howie Hawkins,GRN,21,False,"Gadsden County, Florida",Gadsden 
214,Florida,Gadsden County,Gloria La Riva,PSL,10,False,"Gadsden County, Florida",Gadsden 
215,Florida,Gadsden County,Don Blankenship,CST,9,False,"Gadsden County, Florida",Gadsden 
216,Florida,Gadsden County,Rocky De La Fuente,ALI,8,False,"Gadsden County, Florida",Gadsden 
217,Florida,Gilchrist County,Donald Trump,REP,7895,True,"Gilchrist County, Florida",Gilchrist 
218,Florida,Gilchrist County,Joe Biden,DEM,1700,False,"Gilchrist County, Florida",Gilchrist 
219,Florida,Gilchrist County,Jo Jorgensen,LIB,61,False,"Gilchrist County, Florida",Gilchrist 
220,Florida,Gilchrist County,Howie Hawkins,GRN,13,False,"Gilchrist County, Florida",Gilchrist 
221,Florida,Gilchrist County,Rocky De La Fuente,ALI,6,False,"Gilchrist County, Florida",Gilchrist 
222,Florida,Gilchrist County,Don Blankenship,CST,5,False,"Gilchrist County, Florida",Gilchrist 
223,Florida,Gilchrist County, Write-ins,WRI,3,False,"Gilchrist County, Florida",Gilchrist 
